node_1|node_2|edge|chunk_id
intel's latest 9-year experiment with making and selling fpgas|fpga maker altera|In 2013, Altera announced its plan to switch semiconductor foundries from TSMC to Intel. This move marks the end of Intel's latest 9-year experiment with making and selling FPGAs.|394805b316ab4def9f052981f317312e
intel psg|altera|Altera became Intel PSG after Intel acquired it late in 2015.|394805b316ab4def9f052981f317312e
margin stacking|xilinx's prices|Since Xilinx has to pay TSMC for chips, and then add their own margin to the price, there are two companies worth of margins in Xilinx’s prices. However, with Altera and Intel becoming one company after Intel acquired Altera, they don't have two companies’ worth of margins to deal with, and they could potentially drop prices.|394805b316ab4def9f052981f317312e
margin stacking argument|sacred in semiconductors|In semiconductor manufacturing, maintaining healthy margins is considered sacred as it contributes significantly to profitability. The margin stacking argument in this context seems less convincing upon closer examination.|501132732e3d4fe68f541a3f776c3b5f
intel|margin-savvy|Intel is known for its prudent approach towards managing margins, a trait that is highly valued in the semiconductor industry.|501132732e3d4fe68f541a3f776c3b5f
xilinx|tsmc|Both Xilinx and TSMC face similar challenges regarding margins as they operate in the lucrative semiconductor technology sector.|501132732e3d4fe68f541a3f776c3b5f
intel and altera|same group of shareholders|Putting both operations under the same ownership does not significantly change the fact that each entity still needs to earn a profit by managing margins.|501132732e3d4fe68f541a3f776c3b5f
arria 10 fpgas|intel's 20nm finfet node|Initially had trouble taping out Arria 10 FPGAs in Intel’s 20nm FinFET node|72b8035122f44216a18e81bc342f1a94
stratix 10 fpgas|intel's 14nm node|Fared much better at the 14nm node|72b8035122f44216a18e81bc342f1a94
intel psg|intel’s early heterogeneous chiplet technologies and strategies|Pathfinding Intel’s early heterogeneous chiplet technologies and strategies, including the use of the embedded multi-die interconnect bridge (EMIB) and the Advanced Interface Bus (AIB)|72b8035122f44216a18e81bc342f1a94
intel psg|agilex fpga families|Jumped to the successful Agilex FPGA families, initially made with Intel’s 10nm process technology|72b8035122f44216a18e81bc342f1a94
agilex fpga families|intel's 10nm process technology|Initially made with Intel’s 10nm process technology|72b8035122f44216a18e81bc342f1a94
agilex fpga families|low-end agilex 3 fpgas|Expanding the Agilex FPGA family portfolio|72b8035122f44216a18e81bc342f1a94
directrf agilex 9 fpgas|agilex fpga architecture|Seems to plan on stretching the Agilex FPGA architecture from low-end Agilex 3 FPGAs to stratospheric DirectRF Agilex 9 FPGAs|72b8035122f44216a18e81bc342f1a94
intel|dram business|Invented commercial DRAMs and brought in so much revenue that Intel founders Gordon Moore and Andy Grove were quite skeptical of the microprocessor’s importance to the company. However, the Intel 8088 microprocessor’s success in the IBM PC market coupled with fierce Japanese competition in the DRAM arena caused Moore and Grove to pivot in 1985. That year, Intel dumped its DRAM business and became the microprocessor company we know today.|2b2a6d5788e945deb2b69980150e6313
intel|mcaffee|Acquired security software maker McAffee in 2014 and sold it via a private buyout seven years later.|2b2a6d5788e945deb2b69980150e6313
intel|mobileye|Agreed to acquire autonomous driving specialist Mobileye in 2017 and spun the company back out in an IPO in 2022.|2b2a6d5788e945deb2b69980150e6313
intel|psg|Plans to spin out PSG as a wholly owned and independent company on January 1, 2024, then to add an investment partner to the deal ‘fairly rapidly’, and to conduct an IPO for the new FPGA company within two or three years.|2b2a6d5788e945deb2b69980150e6313
intel psg|new fpga company|During the October 3 announcement, Gelsinger announced that Intel’s PSG will become an independent company focused exclusively on FPGA development, FPGA applications, FPGA marketing, FPGA customers, and FPGA-friendly sales channels. As CEO of the new FPGA company, Sandra Rivera will be looking for growth, higher profits, alternative sales channels, and the ability to create derivative FPGAs more quickly using Intel’s chiplet technologies and manufacturing might.|c7c036bbaffc4ca5b6e7c2a490c4b592
sandra rivera|new fpga company|Rivera said that as CEO of the new FPGA company, she’ll be looking for growth, higher profits, alternative sales channels, and the ability to create derivative FPGAs more quickly using Intel’s chiplet technologies and manufacturing might.|c7c036bbaffc4ca5b6e7c2a490c4b592
shannon poulin|intel psg|Currently a corporate VP and General Manager of Intel PSG, will become the new company’s COO.|c7c036bbaffc4ca5b6e7c2a490c4b592
intel psg|intel's operational independence|For Intel PSG, the return to operational independence may be a welcome breath of fresh air. This spinout is not the first time that Intel has exited the programmable logic business, as they sold their EPLD business to Altera in the late 1980s to focus more on microprocessors.|387915f501c447d59353cbc9329fd133
intel psg|fpgas|Intel continued to operate as a microprocessor company after acquiring Altera in 2015. From a revenue perspective, FPGAs represent a small portion of Intel’s sales and get little corporate marketing attention.|387915f501c447d59353cbc9329fd133
